,Generation,feedback,C,N ,P,S,ppI,Geom
9,2,-0.135731614,-0.018878061,-0.065848528,-0.030217588,-0.05144468,-0.412534569,-0.077089347
13,2,-0.162298641,-0.039596733,-0.018143482,-0.051612713,-0.029011044,-0.42299703,-0.056460475
15,2,0.047540945,0.021900213,0.007571221,0.007926065,0.00935682,-0.398650452,-0.045131921
1,2,-0.059846916,-0.004159796,-0.052630421,-0.049248146,-0.012320988,-0.388483315,-0.030642842
7,2,0.074107972,-0.006735705,-0.020154846,-0.027280691,-0.029766872,-0.41837309,-0.01074228
5,2,-0.135731614,-0.032795714,-0.045869549,-0.016405957,-0.049473116,-0.400252758,-0.010518315
10,2,0.003838776,-0.002977887,-0.007389484,-0.011788974,0.018661385,-0.394026512,0.021215146
2,2,0.079723474,-0.023696558,-0.035104401,-0.030819532,-0.035369644,-0.407910629,0.009886592
12,2,0.146428634,0.008390851,0.023354643,0.007044159,0.025019985,-0.374599198,0.010110556
3,2,0.14999267,-0.013536724,-0.026915717,-0.024916124,-0.027795308,-0.386368641,0.02625028
16,2,0.119861606,0.023109117,-0.000617462,0.02085579,0.008141084,-0.37160227,0.014921726
4,2,0.222313331,0.007181948,0.005828623,-0.011986399,0.026235721,-0.383371713,-0.005707145
8,2,0.146428634,-0.005526801,-0.028343529,-0.014350965,-0.030982608,-0.410715219,0.021439111
11,2,0.074107972,-0.01232782,0.031543327,-0.005885566,0.004557913,-0.391029584,0.03592819
14,2,-0.022728251,0.011740379,-0.031361589,0.002022657,0.001782484,-0.395653524,0.04073936
6,2,0.003838776,-0.016895539,-0.059087656,-0.033184098,-0.037341208,-0.398945776,0.035704225
17,3,-0.110831805,-0.099288081,-0.117625896,-0.472882829,-0.151918784,-0.099303666,-0.388875306
29,3,-0.190187464,-0.446152204,-0.582356807,-0.438141196,-0.619454773,-0.457433138,-0.356272928
25,3,-0.160896667,-0.391137597,-0.42338588,-0.491825586,-0.65014223,-0.505285124,-0.287758412
18,3,0.002229655,-0.233864328,-0.321744392,-0.280006145,-0.379642465,-0.378896094,-0.271746853
20,3,0.013303966,-0.007112303,-0.031667096,0.044220076,-0.048124921,0.005754849,-0.267155578
19,3,0.024256978,-0.022259039,-0.176102701,0.07896171,-0.134690173,-0.091992654,-0.240162332
30,3,-0.077126003,-0.288878935,-0.380221197,-0.298948902,-0.061583767,-0.316867343,-0.239144475
21,3,-0.124135771,-0.154302688,-0.523880002,-0.117156282,-0.636683383,-0.450122126,-0.207559954
32,3,-0.066051693,-0.062126909,-0.090143901,0.025277319,-0.393101312,-0.042097137,-0.174965015
31,3,-0.055098681,-0.315456894,-0.05732676,-0.025987419,-0.492343864,-0.269015357,-0.170629959
26,3,-0.047835206,-0.156835286,-0.261445257,-0.245264511,0.096214598,-0.261704345,-0.150027125
28,3,-0.036760896,0.069916739,0.02863204,-0.136099039,-0.03089631,0.013065861,-0.142362637
27,3,-0.025807884,-0.314108555,-0.463580866,-0.381713966,-0.007579265,-0.020766622,-0.139045438
22,3,-0.01107431,-0.158183625,-0.22125027,-0.188837282,-0.235302947,-0.190478314,-0.118442604
24,3,0,0.0685684,0.068827026,0.135388939,-0.362413855,0.084291893,-0.073848121
23,3,0.010953012,-0.023607378,-0.017131774,-0.082414649,-0.16537763,-0.147155652,-0.053245287
46,4,-0.196077786,-0.628542252,-0.628542252,-0.928756156,-1.172015815,-0.856956122,-0.831048596
48,4,-0.096721042,-0.458870927,-0.458870927,-0.716421385,-0.857082978,-0.65078517,-0.8141521
38,4,-0.03636631,-0.456105367,-0.175297754,-0.638082277,-0.452969526,-0.546805337,-0.718894512
40,4,0.062990434,-0.191438214,-0.191438214,-0.331532444,-0.666670439,-0.357553662,-0.684640439
42,4,-0.113293576,-0.306249344,-0.442730467,-0.687877072,-1.021163568,-0.765239029,-0.570891424
44,4,-0.013936832,-0.322389805,-0.322389805,-0.504485975,-0.648396629,-0.484165816,-0.56380151
34,4,-0.086874558,-0.399170074,-0.399170074,-0.837756501,-0.72450454,-0.561695707,-0.563308403
36,4,0.012482186,-0.415310534,-0.415310534,-0.625421731,-0.706230731,-0.559068076,-0.553994928
45,4,-0.11570367,-0.584981859,-0.584981859,-0.596877417,-0.963329467,-0.6534128,-0.546905014
47,4,0.023507756,-0.175297754,-0.456105367,-0.729081931,-0.898927453,-0.667704448,-0.546411907
37,4,0.044007807,-0.36110954,-0.36110954,-0.543867214,-0.749628554,-0.546805337,-0.45873734
41,4,-0.03291946,-0.49206113,-0.49206113,-0.716820745,-0.875356787,-0.340634384,-0.451647426
39,4,0.183219233,-0.188672654,-0.188672654,-0.34419299,-0.476540192,-0.343262015,-0.451154318
43,4,0.106291966,-0.319624244,-0.319624244,-0.517146521,-0.690241105,-0.501085094,-0.424483267
33,4,-0.006500441,-0.442730467,-0.306249344,-0.30298813,-0.434695717,-0.486793447,-0.417393353
35,4,0.132710985,-0.412544974,-0.412544974,-0.475941661,-0.748075206,-0.575987354,-0.416900245
